dist,total
桃園市第6選舉區,328
嘉義市選舉區,1266
屏東縣第1選舉區,201
金門縣選舉區,285
台南市第2選舉區,816
台中市第3選舉區,2706
高雄市第2選舉區,549
花蓮縣選舉區,865
台北市第8選舉區,4767
宜蘭縣選舉區,262
彰化縣第3選舉區,809
台中市第8選舉區,913
台東縣選舉區,401
台中市第2選舉區,4125
嘉義縣第1選舉區,367
雲林縣第1選舉區,537
新北市第1選舉區,3108
新竹市選舉區,9952
桃園市第5選舉區,417
高雄市第8選舉區,437
桃園市第1選舉區,1798
屏東縣第2選舉區,435
台中市第5選舉區,1114
山地原住民選舉區,689
台北市第5選舉區,2145
高雄市第1選舉區,405
台北市第2選舉區,1780
台北市第1選舉區,2180
澎湖縣選舉區,212
新北市第5選舉區,808
不分區,60095
新北市第8選舉區,1506
台南市第3選舉區,3002
桃園市第3選舉區,716
新北市第3選舉區,1981
南投縣第2選舉區,1189
苗栗縣第2選舉區,891
彰化縣第1選舉區,554
台北市第3選舉區,3119
基隆市選舉區,12528
新北市第7選舉區,837
連江縣選舉區,210
台南市第4選舉區,457
高雄市第4選舉區,330
高雄市第7選舉區,585
高雄市第9選舉區,444
台中市第7選舉區,270
台中市第4選舉區,734
台南市第1選舉區,556
雲林縣第2選舉區,542
桃園市第4選舉區,255
台北市第4選舉區,2707
平地原住民選舉區,1109
新北市第12選舉區,7221
新北市第11選舉區,790
高雄市第3選舉區,1288
新北市第6選舉區,690
台南市第5選舉區,732
台中市第6選舉區,551
新北市第2選舉區,1609
彰化縣第2選舉區,444
高雄市第5選舉區,755
新北市第9選舉區,1059
彰化縣第4選舉區,174
新北市第4選舉區,554
台北市第6選舉區,1310
屏東縣第3選舉區,668
高雄市第6選舉區,347
新竹縣選舉區,920
苗栗縣第1選舉區,791
桃園市第2選舉區,492
新北市第10選舉區,755
台中市第1選舉區,704
嘉義縣第2選舉區,533
南投縣第1選舉區,160
台北市第7選舉區,3804
